Revenue Item Sales Report
"Jan 17, 2020 12:00 am - Jan 17, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:04 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,607.55"
Net Sales,"$1,559.12"
COGS,$26.85
Gross Profit,"$1,312.27"
Gross Profit Margin,84.17%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Guacamole half order,1,0,$6.00,$0.00,-$0.00,$6.00,0.38%,$6.00,$0.00,$6.00
White Zinfandel,1,0,$6.00,$0.00,-$0.00,$6.00,0.38%,$6.00,$0.00,$0.00
Tea,2,0,$5.50,$0.00,-$0.00,$5.50,0.35%,$2.75,$0.00,$5.50
BAR CODE,1,0,$5.00,$0.00,-$0.00,$5.00,0.32%,$5.00,$0.00,$5.00
azada,1,0,$5.00,$0.00,-$0.00,$5.00,0.32%,$5.00,$0.00,$0.00
Jamaica,1,0,$4.50,$0.00,-$0.00,$4.50,0.29%,$4.50,$0.00,$4.50
Mexican Flan,1,0,$4.50,$0.00,-$0.00,$4.50,0.29%,$4.50,$0.00,$4.50
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.22%,$3.50,$0.00,$3.50
Bud Light,1,0,$4.00,-$1.00,-$0.00,$3.00,0.19%,$3.00,$0.00,$0.00
S Tiramisu,1,0,$3.00,$0.00,-$0.00,$3.00,0.19%,$3.00,$0.00,$3.00
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.19%,$3.00,$0.00,$3.00
Side Cheese,1,0,$2.50,$0.00,-$0.00,$2.50,0.16%,$2.50,$0.00,$2.50
Side Avocado,1,0,$2.00,$0.00,-$0.00,$2.00,0.13%,$2.00,$0.00,$2.00
Side Chips,1,0,$1.50,$0.00,-$0.00,$1.50,0.10%,$1.50,$0.00,$1.50
Side House Salsa,1,0,$1.50,$0.00,-$0.00,$1.50,0.10%,$1.50,$0.00,$1.50
un huevo mediano,1,0,$1.50,$0.00,-$0.00,$1.50,0.10%,$1.50,$0.00,$0.00
Water,4,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,183,0,"$1,607.55",-$48.43,$0.00,"$1,559.12",100.00%,$8.52,$26.85,"$1,312.27"
