Revenue Item Sales Report
"Jan 06, 2020 12:00 am - Jan 06, 2020 11:59 pm"
"Requested on: Apr 16, 2020 4:51 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,481.10"
Net Sales,"$1,404.12"
COGS,$0.00
Gross Profit,"$1,010.37"
Gross Profit Margin,71.96%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Cadillac Margarita,7,0,$116.00,$0.00,-$0.00,$116.00,8.26%,$16.57,$0.00,$116.00
Camarones Costa Azul,5,0,$99.75,$0.00,-$0.00,$99.75,7.10%,$19.95,$0.00,$99.75
Coronadita Margarita,9,0,$90.00,$0.00,-$0.00,$90.00,6.41%,$10.00,$0.00,$90.00
Combination de Dos,8,0,$79.60,$0.00,-$0.00,$79.60,5.67%,$9.95,$0.00,$79.60
Carne Asada Plate,3,0,$53.85,$0.00,-$0.00,$53.85,3.84%,$17.95,$0.00,$53.85
Vodka and Red Bull,5,0,$50.00,$0.00,-$0.00,$50.00,3.56%,$10.00,$0.00,$0.00
Combination de Tres,4,0,$47.80,$0.00,-$0.00,$47.80,3.40%,$11.95,$0.00,$47.80
MONDAY Margarita,15,0,$105.00,-$60.00,-$0.00,$45.00,3.20%,$3.00,$0.00,$45.00
Pacifico,6,0,$39.00,-$1.00,-$0.00,$38.00,2.71%,$6.33,$0.00,$0.00
Don Julio,3,0,$36.00,$0.00,-$0.00,$36.00,2.56%,$12.00,$0.00,$0.00
Modelo Especial,8,0,$40.00,-$4.00,-$0.00,$36.00,2.56%,$4.50,$0.00,$0.00
Negra Modelo,4,0,$32.00,$0.00,-$0.00,$32.00,2.28%,$8.00,$0.00,$0.00
Chicken Fettuccini,2,0,$31.90,$0.00,-$0.00,$31.90,2.27%,$15.95,$0.00,$31.90
Jose Cuervo serving,1,0,$30.00,$0.00,-$0.00,$30.00,2.14%,$30.00,$0.00,$0.00
Soft Drink,9,0,$29.25,$0.00,-$0.00,$29.25,2.08%,$3.25,$0.00,$29.25
Coors Light,7,0,$28.00,$0.00,-$0.00,$28.00,1.99%,$4.00,$0.00,$0.00
House Margarita,4,0,$28.00,$0.00,-$0.00,$28.00,1.99%,$7.00,$0.00,$28.00
Corona,6,0,$30.00,-$4.00,-$0.00,$26.00,1.85%,$4.33,$0.00,$0.00
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,1.78%,$24.95,$0.00,$24.95
Menudo Soup,2,0,$23.90,$0.00,-$0.00,$23.90,1.70%,$11.95,$0.00,$23.90
Shred Chicken Burrito,2,0,$23.90,$0.00,-$0.00,$23.90,1.70%,$11.95,$0.00,$23.90
Taco A La Carte,7,0,$21.75,$0.00,-$0.00,$21.75,1.55%,$3.11,$0.00,$0.00
Shrimp Fajitas,1,0,$19.95,$0.00,-$0.00,$19.95,1.42%,$19.95,$0.00,$19.95
Queso Fundido,2,0,$19.90,$0.00,-$0.00,$19.90,1.42%,$9.95,$0.00,$19.90
Bud Light,5,0,$20.00,-$1.00,-$0.00,$19.00,1.35%,$3.80,$0.00,$0.00
Jack Daniels,2,0,$18.00,$0.00,-$0.00,$18.00,1.28%,$9.00,$0.00,$0.00
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,1.28%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,1.28%,$17.95,$0.00,$17.95
Carnitas Plate,1,0,$16.95,$0.00,-$0.00,$16.95,1.21%,$16.95,$0.00,$16.95
Cocktail De Camaron,1,0,$16.95,$0.00,-$0.00,$16.95,1.21%,$16.95,$0.00,$16.95
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,1.21%,$16.95,$0.00,$16.95
Dos XX,2,0,$16.00,$0.00,-$0.00,$16.00,1.14%,$8.00,$0.00,$0.00
Hennessy,2,0,$16.00,$0.00,-$0.00,$16.00,1.14%,$8.00,$0.00,$16.00
Carne Asada Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.06%,$14.95,$0.00,$14.95
Grilled Chicken Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.06%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,1.06%,$14.95,$0.00,$14.95
Mercadito Margarita Don Julio,1,0,$14.00,$0.00,-$0.00,$14.00,1.00%,$14.00,$0.00,$14.00
Tito's,2,0,$14.00,$0.00,-$0.00,$14.00,1.00%,$7.00,$0.00,$0.00
