Revenue Item Sales Report
"Jan 26, 2020 12:00 am - Jan 26, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:07 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$2,996.05"
Net Sales,"$2,915.80"
COGS,$2.50
Gross Profit,"$2,826.55"
Gross Profit Margin,96.94%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Sunday Brunch (Adult),89,0,"$1,775.55",-$19.95,-$0.00,"$1,755.60",60.21%,$19.73,$0.00,"$1,755.60"
Combination de Dos,9,0,$97.55,$0.00,-$0.00,$97.55,3.35%,$10.84,$0.00,$97.55
Soft Drink,26,0,$84.50,$0.00,-$0.00,$84.50,2.90%,$3.25,$0.00,$84.50
Blackened Salmon,4,0,$79.80,$0.00,-$0.00,$79.80,2.74%,$19.95,$0.00,$79.80
Combination de Tres,6,0,$77.70,$0.00,-$0.00,$77.70,2.66%,$12.95,$0.00,$77.70
Sunday Brunch (Kids),6,0,$59.70,$0.00,-$0.00,$59.70,2.05%,$9.95,$0.00,$59.70
Grande Mixed Fajitas,2,0,$49.90,$0.00,-$0.00,$49.90,1.71%,$24.95,$0.00,$49.90
House Margarita,7,0,$49.00,$0.00,-$0.00,$49.00,1.68%,$7.00,$0.00,$49.00
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,1.54%,$44.95,$0.00,$44.95
Carne Asada Plate,2,0,$35.90,$0.00,-$0.00,$35.90,1.23%,$17.95,$0.00,$35.90
S Shrimp Margarita,2,0,$35.90,$0.00,-$0.00,$35.90,1.23%,$17.95,$0.00,$35.90
Shred Beef Burrito,3,0,$35.85,$0.00,-$0.00,$35.85,1.23%,$11.95,$0.00,$35.85
Bloody Mary,4,0,$32.00,$0.00,-$0.00,$32.00,1.10%,$8.00,$0.00,$0.00
Chicken Fettuccini,2,0,$31.90,$0.00,-$0.00,$31.90,1.09%,$15.95,$0.00,$31.90
Bacon Cheeseburger,2,0,$23.90,$0.00,-$0.00,$23.90,0.82%,$11.95,$0.00,$23.90
Horchata,5,0,$22.50,$0.00,-$0.00,$22.50,0.77%,$4.50,$0.00,$22.50
Mimosa with Sunday Brunch,4,0,$20.00,$0.00,-$0.00,$20.00,0.69%,$5.00,$0.00,$20.00
Camarones Costa Azul,1,0,$19.95,$0.00,-$0.00,$19.95,0.68%,$19.95,$0.00,$19.95
Steak Tampiqueno,1,0,$19.95,$0.00,-$0.00,$19.95,0.68%,$19.95,$0.00,$19.95
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,0.65%,$18.95,$0.00,$18.95
Modelo Especial,3,0,$18.00,$0.00,-$0.00,$18.00,0.62%,$6.00,$0.00,$0.00
KIDS Cheeseburger,2,0,$17.90,$0.00,-$0.00,$17.90,0.61%,$8.95,$0.00,$17.90
Carnitas Plate,1,0,$16.95,$0.00,-$0.00,$16.95,0.58%,$16.95,$0.00,$16.95
Shrimp Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,0.51%,$14.95,$0.00,$14.95
Shred Chicken Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,0.48%,$13.95,$0.00,$13.95
Taco Salad,1,0,$13.95,$0.00,-$0.00,$13.95,0.48%,$13.95,$0.00,$13.95
Deep Fried Ice Cream,2,0,$13.90,$0.00,-$0.00,$13.90,0.48%,$6.95,$0.00,$13.90
Carnitas Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,0.44%,$12.95,$0.00,$12.95
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,0.44%,$12.95,$0.00,$12.95
Coors Light,3,0,$12.00,$0.00,-$0.00,$12.00,0.41%,$4.00,$0.00,$0.00
