Revenue Item Sales Report
"Feb 25, 2020 12:00 am - Feb 25, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:18 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,196.40"
Net Sales,"$1,162.38"
COGS,$8.95
Gross Profit,"$1,083.43"
Gross Profit Margin,93.21%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,23,0,$185.00,-$31.00,-$0.00,$154.00,13.25%,$6.70,$0.00,$154.00
Taco Tuesday,28,0,$140.00,-$1.50,-$0.00,$138.50,11.92%,$4.95,$0.00,$138.50
Cadillac Margarita,5,0,$90.00,$0.00,-$0.00,$90.00,7.74%,$18.00,$0.00,$90.00
Soft Drink,15,0,$48.75,-$0.32,-$0.00,$48.43,4.17%,$3.23,$0.00,$48.43
Mercadito Margarita Don Julio,3,0,$42.00,$0.00,-$0.00,$42.00,3.61%,$14.00,$0.00,$42.00
Camarones,2,0,$35.90,$0.00,-$0.00,$35.90,3.09%,$17.95,$0.00,$35.90
Carne Asada Plate,2,0,$35.90,$0.00,-$0.00,$35.90,3.09%,$17.95,$0.00,$35.90
Montejo,5,0,$35.85,$0.00,-$0.00,$35.85,3.08%,$7.17,$0.00,$35.85
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,2.92%,$16.95,$0.00,$33.90
Grilled Chicken Burrito,2,0,$29.90,$0.00,-$0.00,$29.90,2.57%,$14.95,$0.00,$29.90
Shrimp Caesar Salad,2,0,$29.90,$0.00,-$0.00,$29.90,2.57%,$14.95,$0.00,$29.90
Fajitas Steak / Chicken,1,0,$20.95,$0.00,-$0.00,$20.95,1.80%,$20.95,$0.00,$20.95
Modelo Especial,4,0,$20.00,$0.00,-$0.00,$20.00,1.72%,$5.00,$0.00,$0.00
Negra Modelo,4,0,$20.00,$0.00,-$0.00,$20.00,1.72%,$5.00,$0.00,$0.00
Combination de Dos,2,0,$19.90,$0.00,-$0.00,$19.90,1.71%,$9.95,$0.00,$19.90
Queso Fundido,2,0,$19.90,$0.00,-$0.00,$19.90,1.71%,$9.95,$0.00,$19.90
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,1.63%,$18.95,$0.00,$18.95
"Flauta Appetizer ",2,0,$18.90,$0.00,-$0.00,$18.90,1.63%,$9.45,$0.00,$18.90
S Camarones Margaritas,1,0,$17.95,$0.00,-$0.00,$17.95,1.54%,$17.95,$0.00,$17.95
Albondigas Soup,2,0,$17.90,$0.00,-$0.00,$17.90,1.54%,$8.95,$0.00,$17.90
The Great Panino,2,0,$17.90,$0.00,-$0.00,$17.90,1.54%,$8.95,$0.00,$17.90
Carnitas Plate,1,0,$16.95,$0.00,-$0.00,$16.95,1.46%,$16.95,$0.00,$16.95
Baja Fish Tacos,1,0,$14.95,$0.00,-$0.00,$14.95,1.29%,$14.95,$0.00,$14.95
Shrimp Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.29%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,1.29%,$14.95,$0.00,$14.95
Absolute,2,0,$14.00,$0.00,-$0.00,$14.00,1.20%,$7.00,$0.00,$0.00
Cazadores,2,0,$14.00,$0.00,-$0.00,$14.00,1.20%,$7.00,$0.00,$14.00
Tostadas Mixtas,1,0,$13.95,$0.00,-$0.00,$13.95,1.20%,$13.95,$0.00,$13.95
Horchata,3,0,$13.50,$0.00,-$0.00,$13.50,1.16%,$4.50,$0.00,$13.50
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,1.11%,$12.95,$0.00,$12.95
Bacon Cheeseburger,1,0,$11.95,$0.00,-$0.00,$11.95,1.03%,$11.95,$0.00,$11.95
Combination de Tres,1,0,$11.95,$0.00,-$0.00,$11.95,1.03%,$11.95,$0.00,$11.95
Guacamole Full Size,1,0,$11.95,$0.00,-$0.00,$11.95,1.03%,$11.95,$8.95,$3.00
Nachos Vaqueros,1,0,$11.95,$0.00,-$0.00,$11.95,1.03%,$11.95,$0.00,$11.95
Tostada De Ceviche,1,0,$11.95,$0.00,-$0.00,$11.95,1.03%,$11.95,$0.00,$11.95
Chilaquiles Rojos,1,0,$10.95,$0.00,-$0.00,$10.95,0.94%,$10.95,$0.00,$10.95
BAR CODE,2,0,$10.00,$0.00,-$0.00,$10.00,0.86%,$5.00,$0.00,$10.00
KIDS Carne Asada Taco,1,0,$8.95,$0.00,-$0.00,$8.95,0.77%,$8.95,$0.00,$8.95
KIDS Cheeseburger,1,0,$8.95,$0.00,-$0.00,$8.95,0.77%,$8.95,$0.00,$8.95
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,0.68%,$7.95,$0.00,$7.95
House Vodka,1,0,$6.00,$0.00,-$0.00,$6.00,0.52%,$6.00,$0.00,$0.00
House whiskey,1,0,$6.00,$0.00,-$0.00,$6.00,0.52%,$6.00,$0.00,$0.00
Side Chips,4,0,$6.00,$0.00,-$0.00,$6.00,0.52%,$1.50,$0.00,$6.00
Side Beans,3,0,$6.00,-$0.20,-$0.00,$5.80,0.50%,$1.93,$0.00,$5.80
Dinner Salad,1,0,$4.95,$0.00,-$0.00,$4.95,0.43%,$4.95,$0.00,$4.95
Jamaica,1,0,$4.50,$0.00,-$0.00,$4.50,0.39%,$4.50,$0.00,$4.50
Small Alb. Soup,1,0,$4.50,$0.00,-$0.00,$4.50,0.39%,$4.50,$0.00,$4.50
Corona,1,0,$5.00,-$1.00,-$0.00,$4.00,0.34%,$4.00,$0.00,$0.00
Side Avocado,2,0,$4.00,$0.00,-$0.00,$4.00,0.34%,$2.00,$0.00,$4.00
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.30%,$3.50,$0.00,$3.50
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.26%,$3.00,$0.00,$3.00
Coffee,1,0,$2.75,$0.00,-$0.00,$2.75,0.24%,$2.75,$0.00,$2.75
Side Macaroni,1,0,$2.00,$0.00,-$0.00,$2.00,0.17%,$2.00,$0.00,$2.00
Side Rice,1,0,$2.00,$0.00,-$0.00,$2.00,0.17%,$2.00,$0.00,$2.00
Water,8,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,162,0,"$1,196.40",-$34.02,$0.00,"$1,162.38",100.00%,$7.18,$8.95,"$1,083.43"
