Revenue Item Sales Report
"Oct 24, 2019 12:00 am - Oct 24, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:20 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$990.45
Net Sales,$868.88
COGS,$17.90
Gross Profit,$722.23
Gross Profit Margin,83.12%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,23,0,$166.00,-$38.00,-$0.00,$128.00,14.73%,$5.57,$0.00,$128.00
Cadillac Margarita,5,0,$71.00,$0.00,-$0.00,$71.00,8.17%,$14.20,$0.00,$71.00
Combination de Dos,5,0,$51.75,$0.00,-$0.00,$51.75,5.96%,$10.35,$0.00,$51.75
Combination de Tres,5,0,$59.75,-$11.95,-$0.00,$47.80,5.50%,$9.56,$0.00,$47.80
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,5.17%,$44.95,$0.00,$44.95
Nachos Vaqueros,2,0,$29.90,$0.00,-$0.00,$29.90,3.44%,$14.95,$0.00,$29.90
Taco A La Carte,9,0,$25.75,$0.00,-$0.00,$25.75,2.96%,$2.86,$0.00,$0.00
Mojito,4,0,$32.00,-$8.00,-$0.00,$24.00,2.76%,$6.00,$0.00,$0.00
Guacamole Full Size,2,0,$21.90,$0.00,-$0.00,$21.90,2.52%,$10.95,$17.90,$4.00
Modelo Especial,3,0,$24.00,-$3.00,-$0.00,$21.00,2.42%,$7.00,$0.00,$0.00
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,2.30%,$19.95,$0.00,$19.95
Shrimp Fajitas,1,0,$19.95,$0.00,-$0.00,$19.95,2.30%,$19.95,$0.00,$19.95
White Russian,3,0,$24.00,-$6.00,-$0.00,$18.00,2.07%,$6.00,$0.00,$0.00
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,2.07%,$17.95,$0.00,$17.95
Carne Asada Plate,1,0,$17.95,$0.00,-$0.00,$17.95,2.07%,$17.95,$0.00,$17.95
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,2.07%,$17.95,$0.00,$17.95
S Shrimp Margarita,1,0,$17.95,$0.00,-$0.00,$17.95,2.07%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,2.07%,$17.95,$0.00,$17.95
Double Dare Tacos,2,0,$17.90,$0.00,-$0.00,$17.90,2.06%,$8.95,$0.00,$17.90
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,1.95%,$16.95,$0.00,$16.95
Carne Asada Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.72%,$14.95,$0.00,$14.95
Filet,1,0,$14.95,$0.00,-$0.00,$14.95,1.72%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,1.72%,$14.95,$0.00,$14.95
Carnitas Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,1.49%,$12.95,$0.00,$12.95
Bud Light,1,0,$14.00,-$2.00,-$0.00,$12.00,1.38%,$12.00,$0.00,$12.00
Champagne,4,0,$12.00,$0.00,-$0.00,$12.00,1.38%,$3.00,$0.00,$12.00
Montejo,1,0,$14.00,-$2.00,-$0.00,$12.00,1.38%,$12.00,$0.00,$12.00
Carne Asada Fries,1,0,$11.95,$0.00,-$0.00,$11.95,1.38%,$11.95,$0.00,$11.95
The Green Burrito,1,0,$10.95,$0.00,-$0.00,$10.95,1.26%,$10.95,$0.00,$10.95
piña colada,2,0,$10.00,$0.00,-$0.00,$10.00,1.15%,$5.00,$0.00,$0.00
Soft Drink,3,0,$9.75,$0.00,-$0.00,$9.75,1.12%,$3.25,$0.00,$9.75
grand marnier,1,0,$9.00,$0.00,-$0.00,$9.00,1.04%,$9.00,$0.00,$0.00
KIDS Cheeseburger,1,0,$8.95,$0.00,-$0.00,$8.95,1.03%,$8.95,$0.00,$8.95
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,0.91%,$7.95,$0.00,$7.95
HH Queso Fundido,1,0,$9.95,-$2.99,-$0.00,$6.96,0.80%,$6.96,$0.00,$6.96
Deep Fried Ice Cream,1,0,$6.95,$0.00,-$0.00,$6.95,0.80%,$6.95,$0.00,$6.95
Bloody Mary,1,0,$8.00,-$2.00,-$0.00,$6.00,0.69%,$6.00,$0.00,$0.00
Michelo Ultra Light,1,0,$6.00,$0.00,-$0.00,$6.00,0.69%,$6.00,$0.00,$0.00
HH Flauta Appetizer,1,0,$7.95,-$2.39,-$0.00,$5.56,0.64%,$5.56,$0.00,$5.56
HH Guacamole,1,0,$7.95,-$2.39,-$0.00,$5.56,0.64%,$5.56,$0.00,$5.56
grand marquete,1,0,$5.00,$0.00,-$0.00,$5.00,0.58%,$5.00,$0.00,$0.00
S Pumpkin Cheesecake,1,0,$4.95,$0.00,-$0.00,$4.95,0.57%,$4.95,$0.00,$4.95
Pacifico,1,0,$5.00,-$1.00,-$0.00,$4.00,0.46%,$4.00,$0.00,$0.00
