Revenue Item Sales Report
"Oct 19, 2019 12:00 am - Oct 19, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:18 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,527.90"
Net Sales,"$1,527.00"
COGS,$35.80
Gross Profit,"$1,417.95"
Gross Profit Margin,92.86%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Soft Drink,40,0,$130.00,$0.00,-$0.00,$130.00,8.51%,$3.25,$0.00,$130.00
Cadillac Margarita,6,0,$101.00,$0.00,-$0.00,$101.00,6.61%,$16.83,$0.00,$101.00
Combination de Dos,8,0,$83.60,$0.00,-$0.00,$83.60,5.47%,$10.45,$0.00,$83.60
"S Chicken Florentine ",5,0,$79.75,$0.00,-$0.00,$79.75,5.22%,$15.95,$0.00,$79.75
House Margarita,9,0,$76.00,$0.00,-$0.00,$76.00,4.98%,$8.44,$0.00,$76.00
Camarones,4,0,$71.80,$0.00,-$0.00,$71.80,4.70%,$17.95,$0.00,$71.80
Carne Asada Plate,4,0,$71.80,$0.00,-$0.00,$71.80,4.70%,$17.95,$0.00,$71.80
Combination de Tres,5,0,$61.75,$0.00,-$0.00,$61.75,4.04%,$12.35,$0.00,$61.75
Grilled Chicken Plate,3,0,$50.85,$0.00,-$0.00,$50.85,3.33%,$16.95,$0.00,$50.85
Carne Asada Fries,4,0,$47.80,$0.00,-$0.00,$47.80,3.13%,$11.95,$0.00,$47.80
Shred Chicken Burrito,3,0,$43.85,$0.00,-$0.00,$43.85,2.87%,$14.62,$0.00,$43.85
Guacamole Full Size,4,0,$43.80,$0.00,-$0.00,$43.80,2.87%,$10.95,$35.80,$8.00
Carne Asada Burrito,3,0,$40.85,$0.00,-$0.00,$40.85,2.68%,$13.62,$0.00,$40.85
Parrilla Para Dos,1,0,$39.95,$0.00,-$0.00,$39.95,2.62%,$39.95,$0.00,$39.95
Shrimp Fajitas,2,0,$39.90,$0.00,-$0.00,$39.90,2.61%,$19.95,$0.00,$39.90
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,2.22%,$16.95,$0.00,$33.90
Combination de Uno,4,0,$31.80,$0.00,-$0.00,$31.80,2.08%,$7.95,$0.00,$31.80
Chilaquiles Rojos,3,0,$28.85,-$0.90,-$0.00,$27.95,1.83%,$9.32,$0.00,$27.95
Large Chile Relleno,2,0,$25.90,$0.00,-$0.00,$25.90,1.70%,$12.95,$0.00,$25.90
Dos XX,3,0,$24.00,$0.00,-$0.00,$24.00,1.57%,$8.00,$0.00,$0.00
Bacon Cheeseburger,2,0,$23.90,$0.00,-$0.00,$23.90,1.57%,$11.95,$0.00,$23.90
Carnitas Burrito,1,0,$17.95,$0.00,-$0.00,$17.95,1.18%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,1.18%,$17.95,$0.00,$17.95
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,1.11%,$16.95,$0.00,$16.95
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,1.04%,$15.95,$0.00,$15.95
Champagne,5,0,$15.00,$0.00,-$0.00,$15.00,0.98%,$3.00,$0.00,$15.00
Corona,3,0,$15.00,$0.00,-$0.00,$15.00,0.98%,$5.00,$0.00,$0.00
Baja Fish Tacos,1,0,$14.95,$0.00,-$0.00,$14.95,0.98%,$14.95,$0.00,$14.95
Grilled Chicken Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,0.98%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,0.98%,$14.95,$0.00,$14.95
Bud Light,1,0,$14.00,$0.00,-$0.00,$14.00,0.92%,$14.00,$0.00,$14.00
Shred Beef Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,0.91%,$13.95,$0.00,$13.95
Chicken Cilantro Salad,1,0,$12.95,$0.00,-$0.00,$12.95,0.85%,$12.95,$0.00,$12.95
Tropical Tostada,1,0,$12.95,$0.00,-$0.00,$12.95,0.85%,$12.95,$0.00,$12.95
Grand Manier,2,0,$12.00,$0.00,-$0.00,$12.00,0.79%,$6.00,$0.00,$12.00
Montejo,2,0,$12.00,$0.00,-$0.00,$12.00,0.79%,$6.00,$0.00,$12.00
Margarita's Spicy Burger,1,0,$11.95,$0.00,-$0.00,$11.95,0.78%,$11.95,$0.00,$11.95
Tostada De Ceviche,1,0,$11.95,$0.00,-$0.00,$11.95,0.78%,$11.95,$0.00,$11.95
"Flauta Appetizer ",1,0,$10.95,$0.00,-$0.00,$10.95,0.72%,$10.95,$0.00,$10.95
Huevos Rancheros,1,0,$9.95,$0.00,-$0.00,$9.95,0.65%,$9.95,$0.00,$9.95
Taco A La Carte,3,0,$9.25,$0.00,-$0.00,$9.25,0.61%,$3.08,$0.00,$0.00
Horchata,2,0,$9.00,$0.00,-$0.00,$9.00,0.59%,$4.50,$0.00,$9.00
Jack Daniels,1,0,$9.00,$0.00,-$0.00,$9.00,0.59%,$9.00,$0.00,$0.00
KIDS Cheeseburger,1,0,$8.95,$0.00,-$0.00,$8.95,0.59%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.59%,$8.95,$0.00,$8.95
Kioki coffee,1,0,$8.00,$0.00,-$0.00,$8.00,0.52%,$8.00,$0.00,$0.00
Negra Modelo,1,0,$8.00,$0.00,-$0.00,$8.00,0.52%,$8.00,$0.00,$0.00
Cheese Quesadilla,1,0,$7.95,$0.00,-$0.00,$7.95,0.52%,$7.95,$0.00,$7.95
Deep Fried Ice Cream,1,0,$6.95,$0.00,-$0.00,$6.95,0.46%,$6.95,$0.00,$6.95
Chile Relleno,1,0,$6.00,$0.00,-$0.00,$6.00,0.39%,$6.00,$0.00,$6.00
Sour Cream,4,0,$6.00,$0.00,-$0.00,$6.00,0.39%,$1.50,$0.00,$6.00
Coffee,2,0,$5.50,$0.00,-$0.00,$5.50,0.36%,$2.75,$0.00,$5.50
Side Avocado,2,0,$4.00,$0.00,-$0.00,$4.00,0.26%,$2.00,$0.00,$4.00
Side Chips,2,0,$3.00,$0.00,-$0.00,$3.00,0.20%,$1.50,$0.00,$3.00
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.20%,$3.00,$0.00,$3.00
Side Shrimp Add,1,0,$3.00,$0.00,-$0.00,$3.00,0.20%,$3.00,$0.00,$3.00
Side Beans,1,0,$2.00,$0.00,-$0.00,$2.00,0.13%,$2.00,$0.00,$2.00
Side Rice,1,0,$2.00,$0.00,-$0.00,$2.00,0.13%,$2.00,$0.00,$2.00
Water,1,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,172,0,"$1,527.90",-$0.90,$0.00,"$1,527.00",100.00%,$8.88,$35.80,"$1,417.95"
