Revenue Item Sales Report
"Oct 12, 2019 12:00 am - Oct 12, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:15 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,984.99"
Net Sales,"$1,816.59"
COGS,$35.80
Gross Profit,"$1,639.40"
Gross Profit Margin,90.25%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Combination de Tres,12,0,$145.40,-$11.95,-$0.00,$133.45,7.35%,$11.12,$0.00,$133.45
Grande Mixed Fajitas,4,0,$99.80,$0.00,-$0.00,$99.80,5.49%,$24.95,$0.00,$99.80
Molcajete Mar Y Terra,2,0,$89.90,$0.00,-$0.00,$89.90,4.95%,$44.95,$0.00,$89.90
House Margarita,12,0,$89.00,$0.00,-$0.00,$89.00,4.90%,$7.42,$0.00,$89.00
Camarones Costa Azul,5,0,$99.75,-$19.95,-$0.00,$79.80,4.39%,$15.96,$0.00,$79.80
Soft Drink,24,0,$78.00,$0.00,-$0.00,$78.00,4.29%,$3.25,$0.00,$78.00
S Shrimp Margarita,5,0,$89.75,-$17.95,-$0.00,$71.80,3.95%,$14.36,$0.00,$71.80
Combination de Dos,6,0,$59.70,$0.00,-$0.00,$59.70,3.29%,$9.95,$0.00,$59.70
Modelo Especial,10,0,$59.00,$0.00,-$0.00,$59.00,3.25%,$5.90,$0.00,$0.00
Carne Asada Plate,4,0,$71.80,-$17.95,-$0.00,$53.85,2.96%,$13.46,$0.00,$53.85
Carne Asada Burrito,4,0,$63.80,-$12.95,-$0.00,$50.85,2.80%,$12.71,$0.00,$50.85
Cocktail De Camaron,3,0,$50.85,$0.00,-$0.00,$50.85,2.80%,$16.95,$0.00,$50.85
Blackened Salmon,2,0,$39.90,$0.00,-$0.00,$39.90,2.20%,$19.95,$0.00,$39.90
7 mares,2,0,$37.90,$0.00,-$0.00,$37.90,2.09%,$18.95,$0.00,$0.00
Dona Margarita,3,0,$36.00,$0.00,-$0.00,$36.00,1.98%,$12.00,$0.00,$36.00
Camarones,2,0,$35.90,$0.00,-$0.00,$35.90,1.98%,$17.95,$0.00,$35.90
KIDS Cheeseburger,4,0,$35.80,$0.00,-$0.00,$35.80,1.97%,$8.95,$0.00,$35.80
Guacamole,4,0,$43.80,-$10.95,-$0.00,$32.85,1.81%,$8.21,$35.80,-$2.95
Machaca Con Huevo,3,0,$32.85,$0.00,-$0.00,$32.85,1.81%,$10.95,$0.00,$32.85
Chicken Fettuccini,2,0,$31.90,$0.00,-$0.00,$31.90,1.76%,$15.95,$0.00,$31.90
Mojarra,2,0,$31.90,$0.00,-$0.00,$31.90,1.76%,$15.95,$0.00,$31.90
"S Chicken Florentine ",2,0,$31.90,$0.00,-$0.00,$31.90,1.76%,$15.95,$0.00,$31.90
Jamica,7,0,$31.50,$0.00,-$0.00,$31.50,1.73%,$4.50,$0.00,$31.50
Filet,2,0,$29.90,$0.00,-$0.00,$29.90,1.65%,$14.95,$0.00,$29.90
Huevos Rancheros,3,0,$29.85,$0.00,-$0.00,$29.85,1.64%,$9.95,$0.00,$29.85
Shred Beef Burrito,2,0,$27.90,$0.00,-$0.00,$27.90,1.54%,$13.95,$0.00,$27.90
Bud Light,2,0,$24.00,$0.00,-$0.00,$24.00,1.32%,$12.00,$0.00,$24.00
"Flauta Appetizer ",3,0,$29.85,-$7.95,-$0.00,$21.90,1.21%,$7.30,$0.00,$21.90
Steak Tampiqueno,1,0,$19.95,$0.00,-$0.00,$19.95,1.10%,$19.95,$0.00,$19.95
Queso Fundido,3,0,$29.85,-$9.95,-$0.00,$19.90,1.10%,$6.63,$0.00,$19.90
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,1.04%,$18.95,$0.00,$18.95
Coronadita Margarita,2,0,$18.00,$0.00,-$0.00,$18.00,0.99%,$9.00,$0.00,$18.00
Horchata,4,0,$18.00,$0.00,-$0.00,$18.00,0.99%,$4.50,$0.00,$18.00
Motejo,3,0,$18.00,$0.00,-$0.00,$18.00,0.99%,$6.00,$0.00,$18.00
Grilled Chicken Plate,1,0,$16.95,$0.00,-$0.00,$16.95,0.93%,$16.95,$0.00,$16.95
Baja Fish Tacos,1,0,$14.95,$0.00,-$0.00,$14.95,0.82%,$14.95,$0.00,$14.95
Mercadito Margarita Don Julio,1,0,$14.00,$0.00,-$0.00,$14.00,0.77%,$14.00,$0.00,$14.00
Taquito A La Carte,7,0,$14.00,$0.00,-$0.00,$14.00,0.77%,$2.00,$0.00,$0.00
Grilled Chicken Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,0.71%,$12.95,$0.00,$12.95
Large Chile Relleno,2,0,$25.90,-$12.95,-$0.00,$12.95,0.71%,$6.48,$0.00,$12.95
Cadillac Margarita,1,0,$12.00,$0.00,-$0.00,$12.00,0.66%,$12.00,$0.00,$12.00
Bean & Cheese Burrito,1,0,$11.95,$0.00,-$0.00,$11.95,0.66%,$11.95,$0.00,$11.95
Carne Asada Fries,1,0,$11.95,$0.00,-$0.00,$11.95,0.66%,$11.95,$0.00,$11.95
Margarita's Spicy Burger,1,0,$11.95,$0.00,-$0.00,$11.95,0.66%,$11.95,$0.00,$11.95
Nachos Vaqueros,1,0,$11.95,$0.00,-$0.00,$11.95,0.66%,$11.95,$0.00,$11.95
Shred Chicken Burrito,1,0,$11.95,$0.00,-$0.00,$11.95,0.66%,$11.95,$0.00,$11.95
Chilaquiles Rojos,1,0,$10.95,$0.00,-$0.00,$10.95,0.60%,$10.95,$0.00,$10.95
Juices,3,0,$10.50,$0.00,-$0.00,$10.50,0.58%,$3.50,$0.00,$10.50
Pacifico,2,0,$10.00,$0.00,-$0.00,$10.00,0.55%,$5.00,$0.00,$0.00
Albondigas Soup,1,0,$8.95,$0.00,-$0.00,$8.95,0.49%,$8.95,$0.00,$8.95
KIDS Cheese Quesadilla,1,0,$8.95,$0.00,-$0.00,$8.95,0.49%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.49%,$8.95,$0.00,$8.95
Coffee,3,0,$8.25,$0.00,-$0.00,$8.25,0.45%,$2.75,$0.00,$8.25
Kids Drink Only,4,0,$8.00,$0.00,-$0.00,$8.00,0.44%,$2.00,$0.00,$8.00
Chile Relleno,1,0,$6.00,$0.00,-$0.00,$6.00,0.33%,$6.00,$0.00,$6.00
Side Guacamole,2,0,$6.00,$0.00,-$0.00,$6.00,0.33%,$3.00,$0.00,$6.00
Corona,1,0,$5.00,$0.00,-$0.00,$5.00,0.28%,$5.00,$0.00,$0.00
Negra Modelo,1,0,$5.00,$0.00,-$0.00,$5.00,0.28%,$5.00,$0.00,$0.00
Sour Cream,3,0,$4.50,$0.00,-$0.00,$4.50,0.25%,$1.50,$0.00,$4.50
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.19%,$3.50,$0.00,$3.50
