Revenue Item Sales Report
"Dec 21, 2019 12:00 am - Dec 21, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:44 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,522.60"
Net Sales,"$1,506.16"
COGS,$44.75
Gross Profit,"$1,417.16"
Gross Profit Margin,94.09%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Combination de Tres,10,0,$121.50,$0.00,-$0.00,$121.50,8.07%,$12.15,$0.00,$121.50
House Margarita,14,0,$118.00,$0.00,-$0.00,$118.00,7.83%,$8.43,$0.00,$118.00
Soft Drink,35,0,$113.75,$0.00,-$0.00,$113.75,7.55%,$3.25,$0.00,$113.75
Molcajete Mar Y Terra,2,0,$89.90,$0.00,-$0.00,$89.90,5.97%,$44.95,$0.00,$89.90
Carne Asada Plate,4,0,$71.80,$0.00,-$0.00,$71.80,4.77%,$17.95,$0.00,$71.80
Camarones,3,0,$53.85,$0.00,-$0.00,$53.85,3.58%,$17.95,$0.00,$53.85
Combination de Dos,5,0,$51.75,$0.00,-$0.00,$51.75,3.44%,$10.35,$0.00,$51.75
Guacamole Full Size,5,0,$44.75,$0.00,-$0.00,$44.75,2.97%,$8.95,$44.75,$0.00
Cadillac Margarita,2,0,$40.00,$0.00,-$0.00,$40.00,2.66%,$20.00,$0.00,$40.00
Parrilla Para Dos,1,0,$39.95,$0.00,-$0.00,$39.95,2.65%,$39.95,$0.00,$39.95
Menudo Soup,4,0,$47.80,-$11.95,-$0.00,$35.85,2.38%,$8.96,$0.00,$35.85
Tostada De Ceviche,3,0,$35.85,$0.00,-$0.00,$35.85,2.38%,$11.95,$0.00,$35.85
Combination de Uno,4,0,$33.80,$0.00,-$0.00,$33.80,2.24%,$8.45,$0.00,$33.80
Cheese Quesadilla,3,0,$32.85,$0.00,-$0.00,$32.85,2.18%,$10.95,$0.00,$32.85
Mojarra,2,0,$31.90,$0.00,-$0.00,$31.90,2.12%,$15.95,$0.00,$31.90
Shrimp Burrito,2,0,$29.90,$0.00,-$0.00,$29.90,1.99%,$14.95,$0.00,$29.90
Montejo,2,0,$28.00,$0.00,-$0.00,$28.00,1.86%,$14.00,$0.00,$28.00
Taco Salad,2,0,$27.90,$0.00,-$0.00,$27.90,1.85%,$13.95,$0.00,$27.90
Large Chile Relleno,2,0,$25.90,$0.00,-$0.00,$25.90,1.72%,$12.95,$0.00,$25.90
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,1.66%,$24.95,$0.00,$24.95
House Cadillac Margarita,2,0,$24.00,$0.00,-$0.00,$24.00,1.59%,$12.00,$0.00,$24.00
Carne Asada Fries,2,0,$23.90,$0.00,-$0.00,$23.90,1.59%,$11.95,$0.00,$23.90
"Flauta Appetizer ",3,0,$23.85,$0.00,-$0.00,$23.85,1.58%,$7.95,$0.00,$23.85
Horchata,5,0,$22.50,$0.00,-$0.00,$22.50,1.49%,$4.50,$0.00,$22.50
