Revenue Item Sales Report
"Dec 07, 2019 12:00 am - Dec 07, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:39 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$3,126.25"
Net Sales,"$3,073.74"
COGS,$71.60
Gross Profit,"$1,228.84"
Gross Profit Margin,39.98%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Item 1,1,0,"$1,578.00",$0.00,-$0.00,"$1,578.00",51.34%,"$1,578.00",$0.00,$0.00
Combination de Dos,11,0,$111.45,$0.00,-$0.00,$111.45,3.63%,$10.13,$0.00,$111.45
Camarones,5,0,$89.75,-$5.38,-$0.00,$84.37,2.74%,$16.87,$0.00,$84.37
Carne Asada Plate,4,0,$71.80,$0.00,-$0.00,$71.80,2.34%,$17.95,$0.00,$71.80
Guacamole Full Size,8,0,$71.60,$0.00,-$0.00,$71.60,2.33%,$8.95,$71.60,$0.00
Camarones Costa Azul,4,0,$79.80,-$8.98,-$0.00,$70.82,2.30%,$17.71,$0.00,$70.82
House Margarita,9,0,$63.00,-$4.20,-$0.00,$58.80,1.91%,$6.53,$0.00,$58.80
Soft Drink,18,0,$58.50,$0.00,-$0.00,$58.50,1.90%,$3.25,$0.00,$58.50
skinny margaritas,2,0,$56.00,$0.00,-$0.00,$56.00,1.82%,$28.00,$0.00,$0.00
Pozole,5,0,$54.75,$0.00,-$0.00,$54.75,1.78%,$10.95,$0.00,$54.75
Modelo Especial,9,0,$51.00,-$3.10,-$0.00,$47.90,1.56%,$5.32,$0.00,$0.00
Chicken Fettuccini,3,0,$47.85,-$1.59,-$0.00,$46.26,1.51%,$15.42,$0.00,$46.26
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,1.46%,$44.95,$0.00,$44.95
Steak Tampiqueno,2,0,$39.90,$0.00,-$0.00,$39.90,1.30%,$19.95,$0.00,$39.90
Parrilla Para Dos,1,0,$39.95,-$3.99,-$0.00,$35.96,1.17%,$35.96,$0.00,$35.96
Albondigas Soup,4,0,$35.80,$0.00,-$0.00,$35.80,1.16%,$8.95,$0.00,$35.80
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,1.10%,$16.95,$0.00,$33.90
Shrimp Enchilada Plate,2,0,$29.90,$0.00,-$0.00,$29.90,0.97%,$14.95,$0.00,$29.90
Grilled Chicken Burrito,2,0,$27.90,$0.00,-$0.00,$27.90,0.91%,$13.95,$0.00,$27.90
Combination de Tres,2,0,$23.90,$0.00,-$0.00,$23.90,0.78%,$11.95,$0.00,$23.90
Menudo Soup,2,0,$23.90,$0.00,-$0.00,$23.90,0.78%,$11.95,$0.00,$23.90
Horchata,5,0,$22.50,-$0.45,-$0.00,$22.05,0.72%,$4.41,$0.00,$22.05
Montejo,2,0,$21.95,$0.00,-$0.00,$21.95,0.71%,$10.98,$0.00,$21.95
Taco A La Carte,7,0,$22.00,-$0.65,-$0.00,$21.35,0.69%,$3.05,$0.00,$0.00
Cadillac Margarita,1,0,$20.00,$0.00,-$0.00,$20.00,0.65%,$20.00,$0.00,$20.00
Camarones Aguachiles,1,0,$19.95,$0.00,-$0.00,$19.95,0.65%,$19.95,$0.00,$19.95
Cheese Quesadilla,2,0,$19.90,-$1.19,-$0.00,$18.71,0.61%,$9.36,$0.00,$18.71
S Shrimp Margarita,1,0,$17.95,$0.00,-$0.00,$17.95,0.58%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,0.58%,$17.95,$0.00,$17.95
Combination de Uno,2,0,$17.90,$0.00,-$0.00,$17.90,0.58%,$8.95,$0.00,$17.90
KIDS Cheeseburger,2,0,$17.90,$0.00,-$0.00,$17.90,0.58%,$8.95,$0.00,$17.90
Caldo de Camaron / Shrimp,1,0,$17.00,$0.00,-$0.00,$17.00,0.55%,$17.00,$0.00,$17.00
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,0.55%,$16.95,$0.00,$16.95
Dos XX,2,0,$16.00,$0.00,-$0.00,$16.00,0.52%,$8.00,$0.00,$0.00
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,0.52%,$15.95,$0.00,$15.95
Shrimp Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,0.49%,$14.95,$0.00,$14.95
Michelo Ultra Light,1,0,$14.00,$0.00,-$0.00,$14.00,0.46%,$14.00,$0.00,$0.00
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,0.42%,$12.95,$0.00,$12.95
Tostada De Ceviche,1,0,$11.95,$0.00,-$0.00,$11.95,0.39%,$11.95,$0.00,$11.95
Carne Asada Burrito,1,0,$12.95,-$1.29,-$0.00,$11.66,0.38%,$11.66,$0.00,$11.66
Carne Asada Fries,1,0,$11.95,-$1.19,-$0.00,$10.76,0.35%,$10.76,$0.00,$10.76
Jamaica,2,0,$9.00,$0.00,-$0.00,$9.00,0.29%,$4.50,$0.00,$9.00
Small Alb. Soup,2,0,$9.00,$0.00,-$0.00,$9.00,0.29%,$4.50,$0.00,$9.00
KIDS Bean & Cheese Burrito,1,0,$8.95,$0.00,-$0.00,$8.95,0.29%,$8.95,$0.00,$8.95
KIDS Carne Asada Taco,1,0,$8.95,$0.00,-$0.00,$8.95,0.29%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.29%,$8.95,$0.00,$8.95
Jack Daniels,1,0,$9.00,-$0.90,-$0.00,$8.10,0.26%,$8.10,$0.00,$0.00
Cinnamon Toast Crunch,1,0,$8.00,$0.00,-$0.00,$8.00,0.26%,$8.00,$0.00,$8.00
"Flauta Appetizer ",1,0,$7.95,$0.00,-$0.00,$7.95,0.26%,$7.95,$0.00,$7.95
Pina Colada,1,0,$8.00,-$0.80,-$0.00,$7.20,0.23%,$7.20,$0.00,$0.00
Bean Dip,1,0,$6.00,$0.00,-$0.00,$6.00,0.20%,$6.00,$0.00,$0.00
Guacamole half order,1,0,$6.00,$0.00,-$0.00,$6.00,0.20%,$6.00,$0.00,$6.00
IPA Pale Ale,1,0,$6.00,$0.00,-$0.00,$6.00,0.20%,$6.00,$0.00,$0.00
Side Guacamole,2,0,$6.00,$0.00,-$0.00,$6.00,0.20%,$3.00,$0.00,$6.00
Corona,1,0,$5.00,$0.00,-$0.00,$5.00,0.16%,$5.00,$0.00,$0.00
Smoothie,1,0,$4.50,-$0.45,-$0.00,$4.05,0.13%,$4.05,$0.00,$4.05
Bud Light,1,0,$4.00,$0.00,-$0.00,$4.00,0.13%,$4.00,$0.00,$0.00
Enchilada A La Carte,2,0,$5.00,-$1.25,-$0.00,$3.75,0.12%,$1.88,$0.00,$0.00
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.11%,$3.50,$0.00,$3.50
Sour Cream,2,0,$3.00,$0.00,-$0.00,$3.00,0.10%,$1.50,$0.00,$3.00
Coffee,1,0,$2.75,$0.00,-$0.00,$2.75,0.09%,$2.75,$0.00,$2.75
Kids Drink Only,1,0,$2.00,$0.00,-$0.00,$2.00,0.07%,$2.00,$0.00,$2.00
Side Chile Toreado,1,0,$1.50,-$0.15,-$0.00,$1.35,0.04%,$1.35,$0.00,$1.35
Grilled Chicken Plate,1,0,$16.95,-$16.95,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Water,5,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,165,0,"$3,126.25",-$52.51,$0.00,"$3,073.74",100.00%,$18.63,$71.60,"$1,228.84"
