Revenue Item Sales Report
"Dec 20, 2019 12:00 am - Dec 20, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:44 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$2,509.05"
Net Sales,"$2,476.83"
COGS,$35.80
Gross Profit,$985.53
Gross Profit Margin,39.79%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Item 1,1,0,"$1,100.00",$0.00,-$0.00,"$1,100.00",44.41%,"$1,100.00",$0.00,$0.00
Cadillac Margarita,8,0,$148.00,$0.00,-$0.00,$148.00,5.98%,$18.50,$0.00,$148.00
Grande Mixed Fajitas,4,0,$99.80,$0.00,-$0.00,$99.80,4.03%,$24.95,$0.00,$99.80
Combination de Dos,9,0,$91.55,$0.00,-$0.00,$91.55,3.70%,$10.17,$0.00,$91.55
Tres Generaciones,6,0,$84.00,$0.00,-$0.00,$84.00,3.39%,$14.00,$0.00,$0.00
Modelo Especial,14,0,$85.00,-$3.00,-$0.00,$82.00,3.31%,$5.86,$0.00,$0.00
Corona,14,0,$73.00,-$4.00,-$0.00,$69.00,2.79%,$4.93,$0.00,$0.00
Carne Asada Plate,3,0,$53.85,$0.00,-$0.00,$53.85,2.17%,$17.95,$0.00,$53.85
Camarones Costa Azul,2,0,$39.90,$0.00,-$0.00,$39.90,1.61%,$19.95,$0.00,$39.90
Soft Drink,12,0,$39.00,$0.00,-$0.00,$39.00,1.57%,$3.25,$0.00,$39.00
Guacamole Full Size,4,0,$35.80,$0.00,-$0.00,$35.80,1.45%,$8.95,$35.80,$0.00
Negra Modelo,6,0,$33.00,-$2.00,-$0.00,$31.00,1.25%,$5.17,$0.00,$0.00
Patron,3,0,$30.00,$0.00,-$0.00,$30.00,1.21%,$10.00,$0.00,$30.00
Mercadito Margarita Don Julio,2,0,$28.00,$0.00,-$0.00,$28.00,1.13%,$14.00,$0.00,$28.00
Carne Asada Burrito,2,0,$27.90,-$3.24,-$0.00,$24.66,1.00%,$12.33,$0.00,$24.66
Combination de Tres,2,0,$23.90,$0.00,-$0.00,$23.90,0.96%,$11.95,$0.00,$23.90
Nachos Vaqueros,2,0,$23.90,$0.00,-$0.00,$23.90,0.96%,$11.95,$0.00,$23.90
Pozole,2,0,$21.90,$0.00,-$0.00,$21.90,0.88%,$10.95,$0.00,$21.90
Dos XX,4,0,$20.00,$0.00,-$0.00,$20.00,0.81%,$5.00,$0.00,$0.00
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,0.81%,$19.95,$0.00,$19.95
Shrimp Fajitas,1,0,$19.95,$0.00,-$0.00,$19.95,0.81%,$19.95,$0.00,$19.95
Steak Tampiqueno,1,0,$19.95,$0.00,-$0.00,$19.95,0.81%,$19.95,$0.00,$19.95
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,0.77%,$18.95,$0.00,$18.95
screwdriver,2,0,$18.00,$0.00,-$0.00,$18.00,0.73%,$9.00,$0.00,$0.00
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,0.72%,$17.95,$0.00,$17.95
The Classic Enchiladas,2,0,$17.90,$0.00,-$0.00,$17.90,0.72%,$8.95,$0.00,$17.90
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,0.68%,$16.95,$0.00,$16.95
Montejo,4,0,$24.00,-$8.00,-$0.00,$16.00,0.65%,$4.00,$0.00,$16.00
White Russian,2,0,$16.00,$0.00,-$0.00,$16.00,0.65%,$8.00,$0.00,$0.00
Shred Beef Burrito,1,0,$15.95,$0.00,-$0.00,$15.95,0.64%,$15.95,$0.00,$15.95
Cheese Quesadilla,1,0,$13.95,$0.00,-$0.00,$13.95,0.56%,$13.95,$0.00,$13.95
Tostadas Mixtas,1,0,$13.95,$0.00,-$0.00,$13.95,0.56%,$13.95,$0.00,$13.95
Bud Light,3,0,$12.00,$0.00,-$0.00,$12.00,0.48%,$4.00,$0.00,$0.00
Bacon Cheeseburger,1,0,$11.95,$0.00,-$0.00,$11.95,0.48%,$11.95,$0.00,$11.95
Bean & Cheese Burrito,1,0,$11.95,$0.00,-$0.00,$11.95,0.48%,$11.95,$0.00,$11.95
Menudo Soup,1,0,$11.95,$0.00,-$0.00,$11.95,0.48%,$11.95,$0.00,$11.95
Machaca Con Huevo,1,0,$10.95,$0.00,-$0.00,$10.95,0.44%,$10.95,$0.00,$10.95
HH Nachos Vaqueros,1,0,$14.95,-$4.49,-$0.00,$10.46,0.42%,$10.46,$0.00,$10.46
HH Quesadilla,1,0,$14.95,-$4.49,-$0.00,$10.46,0.42%,$10.46,$0.00,$10.46
BAR CODE,2,0,$10.00,$0.00,-$0.00,$10.00,0.40%,$5.00,$0.00,$10.00
Queso Fundido,1,0,$9.95,$0.00,-$0.00,$9.95,0.40%,$9.95,$0.00,$9.95
Dinner Salad,2,0,$9.90,$0.00,-$0.00,$9.90,0.40%,$4.95,$0.00,$9.90
Chilaquiles Rojos,1,0,$8.95,$0.00,-$0.00,$8.95,0.36%,$8.95,$0.00,$8.95
The Healthy Choice,1,0,$8.95,$0.00,-$0.00,$8.95,0.36%,$8.95,$0.00,$8.95
Pina Colada,1,0,$8.00,$0.00,-$0.00,$8.00,0.32%,$8.00,$0.00,$0.00
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,0.32%,$7.95,$0.00,$7.95
House Cadillac Margarita,1,0,$9.00,-$2.00,-$0.00,$7.00,0.28%,$7.00,$0.00,$7.00
House Margarita,1,0,$7.00,$0.00,-$0.00,$7.00,0.28%,$7.00,$0.00,$7.00
Champagne,2,0,$6.00,$0.00,-$0.00,$6.00,0.24%,$3.00,$0.00,$6.00
Side Chile Toreado,4,0,$6.00,$0.00,-$0.00,$6.00,0.24%,$1.50,$0.00,$6.00
Nacho cheese,1,0,$5.00,$0.00,-$0.00,$5.00,0.20%,$5.00,$0.00,$0.00
S Pumpkin Cheesecake,1,0,$4.95,$0.00,-$0.00,$4.95,0.20%,$4.95,$0.00,$4.95
Horchata,1,0,$4.50,$0.00,-$0.00,$4.50,0.18%,$4.50,$0.00,$4.50
Small Alb. Soup,1,0,$4.50,$0.00,-$0.00,$4.50,0.18%,$4.50,$0.00,$4.50
O'douls,1,0,$4.00,$0.00,-$0.00,$4.00,0.16%,$4.00,$0.00,$0.00
Tecate,1,0,$5.00,-$1.00,-$0.00,$4.00,0.16%,$4.00,$0.00,$0.00
Tea,1,0,$2.75,$0.00,-$0.00,$2.75,0.11%,$2.75,$0.00,$2.75
Enchilada A La Carte,1,0,$2.50,$0.00,-$0.00,$2.50,0.10%,$2.50,$0.00,$0.00
Side Beans,1,0,$2.00,$0.00,-$0.00,$2.00,0.08%,$2.00,$0.00,$2.00
Sour Cream,1,0,$1.50,$0.00,-$0.00,$1.50,0.06%,$1.50,$0.00,$1.50
Water,10,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,165,0,"$2,509.05",-$32.22,$0.00,"$2,476.83",100.00%,$15.01,$35.80,$985.53
