Revenue Item Sales Report
"Nov 30, 2019 12:00 am - Nov 30, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:36 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,141.50"
Net Sales,"$1,118.98"
COGS,$35.80
Gross Profit,"$1,004.23"
Gross Profit Margin,89.75%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Combination de Dos,10,0,$103.50,$0.00,-$0.00,$103.50,9.25%,$10.35,$0.00,$103.50
Camarones,5,0,$89.75,$0.00,-$0.00,$89.75,8.02%,$17.95,$0.00,$89.75
Soft Drink,18,0,$58.50,$0.00,-$0.00,$58.50,5.23%,$3.25,$0.00,$58.50
Carne Asada Burrito,4,0,$57.80,$0.00,-$0.00,$57.80,5.17%,$14.45,$0.00,$57.80
Bacon Cheeseburger,4,0,$47.80,$0.00,-$0.00,$47.80,4.27%,$11.95,$0.00,$47.80
Menudo Soup,4,0,$47.80,$0.00,-$0.00,$47.80,4.27%,$11.95,$0.00,$47.80
Guacamole Full Size,4,0,$43.80,$0.00,-$0.00,$43.80,3.91%,$10.95,$35.80,$8.00
Modelo Especial,8,0,$40.00,$0.00,-$0.00,$40.00,3.57%,$5.00,$0.00,$0.00
Parrilla Para Dos,1,0,$39.95,$0.00,-$0.00,$39.95,3.57%,$39.95,$0.00,$39.95
7 Mares,2,0,$37.90,$0.00,-$0.00,$37.90,3.39%,$18.95,$0.00,$37.90
Carne Asada Plate,2,0,$35.90,$0.00,-$0.00,$35.90,3.21%,$17.95,$0.00,$35.90
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,3.03%,$16.95,$0.00,$33.90
Huevos Rancheros,3,0,$29.85,$0.00,-$0.00,$29.85,2.67%,$9.95,$0.00,$29.85
Michelo Ultra Light,3,0,$27.95,$0.00,-$0.00,$27.95,2.50%,$9.32,$0.00,$0.00
Coffee,10,0,$27.50,$0.00,-$0.00,$27.50,2.46%,$2.75,$0.00,$27.50
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,2.23%,$24.95,$0.00,$24.95
Pozole,2,0,$21.90,$0.00,-$0.00,$21.90,1.96%,$10.95,$0.00,$21.90
Steak Tampiqueno,1,0,$19.95,$0.00,-$0.00,$19.95,1.78%,$19.95,$0.00,$19.95
Horchata,4,0,$18.00,$0.00,-$0.00,$18.00,1.61%,$4.50,$0.00,$18.00
